"Relatório de Disponibilidade - Unidades (REMEP-FLN, PoP-SC/RNP e PARCs)",,,,,,,,,,,,,
Relatório Mensal de Disponibilidade das Unidades Organizacionais,,,,,,,,,,,,,
Período de 01/09/2025 a 30/09/2025,,,,,,,,,,,,,
RESUMO EXECUTIVO,,,,,,,,,,,,,
,,,,,,,,,,,,,
Seq.,Organização,Unidade,Monitoramento,Iniciativas,Serviço,"Designador do 
Serviço","Mantenedor do 
Serviço",Valor acordado do SLA (%),,IDS (%),,IDSA (%),
,,,,,,,,Mensal,"Acumulado 
12 Meses",Mensal,"Acumulado 
12 Meses",Mensal,"Acumulado 
12 Meses"
108,UFSC,Sambaqui (LMM),Disponibilidade Sambaqui [LMM},RCT,Conectividade à REMEP,8105,ALGAR-RCT,99.4400,99.4400,99.8380,99.7913,97.7387,99.6085
109,UFSC,Secretaria de Educação a Distância,Disponibilidade UFSC SEAD,REMEP-FLN,Conectividade à REMEP,#7345,REMEP-FLN,99.6000,99.8500,100.0000,100.0000,100.0000,99.9981
110,UFSC,TV UFSC,Disponibilidade UFSC TV,REMEP-FLN,Conectividade à REMEP,#7340,REMEP-FLN,99.6000,99.8500,100.0000,99.4632,99.9931,99.3717
111,UFSC,UFSC Blumenau Acadêmico,Disponibilidade: UFSC Acadêmico,REMEP-BNU,Conectividade à REMEP BLUMENAU,-,REMEP-BNU,99.6000,99.8500,100.0000,99.9911,100.0000,99.9465
112,UFSC,UFSC Blumenau Sede,Disponibilidade: UFSC Blumenau SEDE,REMEP-BNU,Conectividade à REMEP BLUMENAU,-,REMEP-BNU,99.6000,99.8500,100.0000,99.9906,99.9028,99.8978
113,UNISOCIESC,Anita Garibaldi (Joinville),Disponibilidade UNISOCIESC Anita Garibaldi (Joinville),REMEP-FLN,Conectividade à REMEP,#5745,REMEP-FLN,99.4000,99.5000,100.0000,99.8997,99.9884,99.8295
114,UNISOCIESC,Blumenau,Disponibilidade UNISOCIESC Blumenau,REMEP-FLN,Conectividade à REMEP,#5747,REMEP-FLN,99.4000,99.5000,100.0000,99.8626,100.0000,99.7481
115,UNISOCIESC,Campus Park (Joinville),Disponibilidade UNISOCIESC Campus Park (Joinville),REMEP-FLN,Conectividade à REMEP,#5746,REMEP-FLN,99.4000,99.5000,100.0000,100.0000,100.0000,99.8939
116,UNISOCIESC,Jaraguá do Sul,Disponibilidade UNISOCIESC Jaraguá do Sul,REMEP-FLN,Conectividade à REMEP,#5748,REMEP-FLN,99.4000,99.5000,100.0000,99.9993,100.0000,99.9213
117,UNISOCIESC,São Bento do Sul,Disponibilidade UNISOCIESC São Bento do Sul,REMEP-FLN,Conectividade à REMEP,#5744,REMEP-FLN,99.4000,99.5000,100.0000,100.0000,100.0000,95.2731
118,UNO,Unochapecó,Disponibilidade: Unochapecó Sede,REMEP-CCO,Conectividade à REMEP CHAPECÓ,-,REMEP-CCO,99.2000,99.5000,100.0000,100.0000,100.0000,100.0000
119,UNOESC,UNOESC Chapecó,Disponibilidade: UNOESC Chapecó,REMEP-CCO,Conectividade à REMEP CHAPECÓ,-,REMEP-CCO,99.6000,99.8500,100.0000,99.6489,100.0000,99.4380
